Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Metals,Avg_Metal_Value,Profit_per_Metal,Precious_Ratio,Recovery_Status
iPhone 11,2,3.58,2.95,1.73,8.92,1.91,1.01,1.82,1.27,9.51,270.34,26.17,3.738571428571429,10.330149025601832,0.4069545280855942,0
Toaster,1,7.21,4.31,6.21,5.63,9.59,7.65,0.51,3.03,4.22,689.75,36.839999999999996,5.2628571428571425,18.7228555917481,0.3213897937024973,1
Speaker,3,8.91,5.09,2.42,7.7,1.09,1.49,7.42,3.63,8.83,570.43,32.58,4.654285714285714,17.508594229588706,0.3106200122774709,1
Microwave Oven,1,2.62,3.84,2.98,7.66,9.41,2.25,7.84,6.18,6.36,290.78,42.68,6.097142857142857,6.81302717900656,0.2492970946579194,0
Air Conditioner,0,3.47,3.89,6.2,4.35,5.07,8.65,8.62,0.82,5.53,505.16,39.24,5.605714285714286,12.873598369011214,0.26885830784913356,1
Speaker,3,8.91,9.15,4.85,1.72,8.1,1.1,9.05,0.26,6.52,703.05,31.6,4.514285714285714,22.248417721518987,0.20791139240506326,1
Microwave Oven,1,5.01,5.57,9.96,8.53,5.9,1.96,4.15,1.49,0.92,783.15,32.91,4.701428571428571,23.79671832269827,0.5618353084168947,1
TV,3,3.05,9.49,7.09,0.58,4.76,3.88,9.33,5.73,6.25,535.33,37.620000000000005,5.3742857142857146,14.229930887825624,0.20388091440723016,1
Monitor,3,6.18,3.97,2.35,9.17,9.83,9.93,3.35,7.63,6.62,432.17,48.88,6.982857142857143,8.84144844517185,0.23567921440261863,1
iPhone 11,2,5.81,2.04,1.58,8.37,4.05,1.57,7.33,8.75,9.67,371.39,41.32,5.902857142857143,8.988141335914811,0.24080348499515972,1
TV,3,3.97,0.34,8.29,3.89,8.16,0.56,4.38,4.02,4.81,639.58,34.11,4.872857142857143,18.75051304602756,0.357080035180299,1
Stove,0,0.64,6.21,1.66,4.95,6.68,0.27,5.94,6.41,1.2,124.05,27.11,3.8728571428571428,4.575802286978974,0.24382146809295466,0
Smartphone,2,2.23,0.94,2.71,2.56,4.01,6.26,4.17,9.54,6.64,255.49,35.89,5.127142857142857,7.118696015603232,0.1468375592086932,0
Monitor,3,7.24,5.8,2.85,7.93,6.57,8.3,2.74,8.46,4.93,512.02,41.78,5.968571428571429,12.255146002872188,0.2580181905217807,1
Audio Equipment,3,6.22,5.68,9.21,7.22,4.26,9.1,3.9,4.19,6.42,802.59,44.3,6.328571428571428,18.117155756207676,0.3708803611738149,1
iPhone 11,2,9.62,7.18,6.12,8.81,7.85,6.99,2.22,1.47,3.24,804.96,36.7,5.242857142857143,21.93351498637602,0.4068119891008174,1
Speaker,3,1.21,9.17,9.91,4.31,2.82,5.17,5.42,5.45,0.43,595.83,33.510000000000005,4.787142857142858,17.78066248880931,0.424350940017905,1
Microwave Oven,1,8.34,2.76,8.25,6.41,2.45,5.07,8.7,0.87,0.11,853.55,31.86,4.551428571428572,26.79064657878217,0.46013810420590084,1
Laptop,2,8.63,3.25,0.81,3.98,8.99,5.81,4.7,3.25,4.91,469.54,32.45,4.635714285714286,14.469645608628658,0.14761171032357473,1
Toaster,1,6.33,3.89,0.35,0.35,2.98,4.79,1.56,7.9,7.35,332.14,25.28,3.6114285714285717,13.138449367088606,0.027689873417721517,1
Stove,0,3.28,3.3,8.14,6.86,9.04,6.02,2.12,4.93,6.16,599.44,43.269999999999996,6.181428571428571,13.853478160388262,0.3466605038132656,1
Washing Machine,0,8.69,1.17,8.55,9.02,7.73,8.77,1.05,1.57,1.85,886.05,38.54,5.505714285714285,22.990399584846912,0.4558899844317592,1
Air Conditioner,0,5.71,6.59,7.9,6.74,5.4,5.4,0.3,7.19,4.16,707.81,37.09,5.298571428571429,19.08358047991372,0.394715556753842,1
Stove,0,6.67,4.08,2.18,9.5,2.88,4.13,5.7,6.36,3.65,447.0,34.4,4.914285714285714,12.99418604651163,0.3395348837209302,1
Toaster,1,8.47,1.1,8.87,8.35,1.1,0.33,5.28,5.56,6.9,892.1,36.39,5.198571428571428,24.5149766419346,0.47320692497938993,1
iPhone 11,2,3.15,5.47,8.41,8.21,4.49,6.2,6.91,6.22,6.96,608.71,47.4,6.771428571428571,12.84198312236287,0.3506329113924051,1
