Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
iPhone 11,Cat3,3.58,2.95,1.73,8.92,1.91,1.01,1.82,1.27,9.51,270.34,1747.586811,1
Toaster,Cat2,7.21,4.31,6.21,5.63,9.59,7.65,0.51,3.03,4.22,689.75,1827.215202,1
Speaker,Cat4,8.91,5.09,2.42,7.7,1.09,1.49,7.42,3.63,8.83,570.43,1946.945103,1
Microwave Oven,Cat2,2.62,3.84,2.98,7.66,9.41,2.25,7.84,6.18,6.36,290.78,1595.124886,0
Air Conditioner,Cat1,3.47,3.89,6.2,4.35,5.07,8.65,8.62,0.82,5.53,505.16,1395.768663,0
Speaker,Cat4,8.91,9.15,4.85,1.72,8.1,1.1,9.05,0.26,6.52,703.05,1220.854632,0
Microwave Oven,Cat2,5.01,5.57,9.96,8.53,5.9,1.96,4.15,1.49,0.92,783.15,2445.046742,1
TV,Cat4,3.05,9.49,7.09,0.58,4.76,3.88,9.33,5.73,6.25,535.33,862.648995,0
Monitor,Cat4,6.18,3.97,2.35,9.17,9.83,9.93,3.35,7.63,6.62,432.17,1999.199882,1
iPhone 11,Cat3,5.81,2.04,1.58,8.37,4.05,1.57,7.33,8.75,9.67,371.39,1787.7278869999996,1
TV,Cat4,3.97,0.34,8.29,3.89,8.16,0.56,4.38,4.02,4.81,639.58,1521.133461,0
Stove,Cat1,0.64,6.21,1.66,4.95,6.68,0.27,5.94,6.41,1.2,124.05,947.50928,0
Smartphone,Cat3,2.23,0.94,2.71,2.56,4.01,6.26,4.17,9.54,6.64,255.49,755.821084,0
Monitor,Cat4,7.24,5.8,2.85,7.93,6.57,8.3,2.74,8.46,4.93,512.02,1914.8409129999998,1
Audio Equipment,Cat4,6.22,5.68,9.21,7.22,4.26,9.1,3.9,4.19,6.42,802.59,2256.5829919999996,1
iPhone 11,Cat3,9.62,7.18,6.12,8.81,7.85,6.99,2.22,1.47,3.24,804.96,2464.934344,1
Speaker,Cat4,1.21,9.17,9.91,4.31,2.82,5.17,5.42,5.45,0.43,595.83,1554.7943030000001,0
