Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Recovery_Status,Recyclable,Non_Recyclable
2,3.58,2.95,1.73,8.92,1.91,1.01,1.82,1.27,9.51,270,0,1,0
1,7.21,4.31,6.21,5.63,9.59,7.65,0.51,3.03,4.22,689,1,0,1
3,8.91,5.09,2.42,7.7,1.09,1.49,7.42,3.63,8.83,570,1,0,1
1,2.62,3.84,2.98,7.66,9.41,2.25,7.84,6.18,6.36,290,0,1,0
0,3.47,3.89,6.2,4.35,5.07,8.65,8.62,0.82,5.53,505,1,0,1
3,8.91,9.15,4.85,1.72,8.1,1.1,9.05,0.26,6.52,703,1,0,1
1,5.01,5.57,9.96,8.53,5.9,1.96,4.15,1.49,0.92,783,1,0,1
3,3.05,9.49,7.09,0.58,4.76,3.88,9.33,5.73,6.25,535,1,0,1
3,6.18,3.97,2.35,9.17,9.83,9.93,3.35,7.63,6.62,432,0,0,1
2,5.81,2.04,1.58,8.37,4.05,1.57,7.33,8.75,9.67,371,0,0,1
3,3.97,0.34,8.29,3.89,8.16,0.56,4.38,4.02,4.81,639,1,0,1
0,0.64,6.21,1.66,4.95,6.68,0.27,5.94,6.41,1.2,124,0,1,0
2,2.23,0.94,2.71,2.56,4.01,6.26,4.17,9.54,6.64,255,0,1,0
3,7.24,5.8,2.85,7.93,6.57,8.3,2.74,8.46,4.93,512,1,0,1
3,6.22,5.68,9.21,7.22,4.26,9.1,3.9,4.19,6.42,802,1,0,1
2,9.62,7.18,6.12,8.81,7.85,6.99,2.22,1.47,3.24,804,1,0,1
3,1.21,9.17,9.91,4.31,2.82,5.17,5.42,5.45,0.43,595,1,0,1
1,8.34,2.76,8.25,6.41,2.45,5.07,8.7,0.87,0.11,853,1,0,1
2,8.63,3.25,0.81,3.98,8.99,5.81,4.7,3.25,4.91,469,0,0,1
1,6.33,3.89,0.35,0.35,2.98,4.79,1.56,7.9,7.35,332,0,0,1
0,3.28,3.3,8.14,6.86,9.04,6.02,2.12,4.93,6.16,599,1,0,1
0,8.69,1.17,8.55,9.02,7.73,8.77,1.05,1.57,1.85,886,1,0,1
0,5.71,6.59,7.9,6.74,5.4,5.4,0.3,7.19,4.16,707,1,0,1
0,6.67,4.08,2.18,9.5,2.88,4.13,5.7,6.36,3.65,447,0,0,1
1,8.47,1.1,8.87,8.35,1.1,0.33,5.28,5.56,6.9,892,1,0,1
2,3.15,5.47,8.41,8.21,4.49,6.2,6.91,6.22,6.96,608,1,0,1
3,6.71,8.47,4.04,9.53,0.83,9.03,6.19,6.71,1.35,551,1,0,1
1,6.11,3.59,2.93,1.42,5.84,0.46,4.79,1.61,1.25,459,0,0,1
2,6.42,3.74,9.61,6.67,5.93,5.12,3.02,0.28,8.59,832,1,0,1
3,4.01,3.58,4.65,1.68,7.18,2.25,5.45,3.21,2.48,448,0,0,1
1,2.68,6.64,9.78,2.47,8.47,7.12,3.16,6.46,0.19,659,1,0,1
1,5.34,7.11,3.88,5.0,3.28,3.01,9.42,0.21,5.46,474,0,0,1
3,2.19,6.22,3.52,2.81,5.2,0.3,2.53,3.79,3.58,299,0,1,0
2,4.39,7.38,7.87,7.58,0.86,7.92,0.62,5.53,9.38,641,1,0,1
1,7.52,4.71,0.35,9.91,3.48,4.35,4.69,5.82,1.92,391,0,0,1
0,7.74,7.45,7.55,8.01,2.36,6.03,8.57,3.12,5.46,789,1,0,1
1,1.37,6.32,4.24,2.79,2.05,8.83,8.85,7.53,3.78,298,0,1,0
2,0.98,1.84,5.93,0.45,7.0,5.35,4.8,4.0,4.77,367,0,0,1
2,8.89,4.61,0.22,4.65,9.33,1.36,6.56,4.86,5.99,451,0,0,1
0,1.05,3.15,9.49,0.6,3.16,0.41,1.5,1.29,8.51,561,1,0,1
0,2.9,6.97,0.29,4.66,9.22,2.08,9.96,7.73,6.82,162,0,1,0
0,9.86,3.01,3.8,9.32,3.62,9.37,4.9,0.18,1.26,690,1,0,1
2,7.78,2.94,9.7,6.81,4.38,6.57,0.67,1.43,6.93,903,1,0,1
3,6.18,4.21,0.47,3.04,9.87,7.13,2.34,9.66,6.19,331,0,0,1
0,6.99,3.47,4.89,4.99,4.41,1.28,3.55,8.93,2.17,607,1,0,1
3,9.87,1.59,7.2,7.37,1.91,2.12,4.76,8.99,3.77,871,1,0,1
2,5.72,8.92,6.67,9.6,6.96,4.11,4.68,0.39,4.38,643,1,0,1
2,6.2,4.64,4.75,1.19,2.48,5.24,5.95,7.04,6.75,561,1,0,1
2,9.57,7.21,9.28,2.46,7.74,6.77,7.61,8.66,9.48,971,1,0,1
2,3.6,5.99,6.88,5.47,7.9,2.07,7.82,6.95,8.21,549,1,0,1
3,7.9,9.63,8.5,5.89,4.45,4.57,7.37,1.71,3.16,849,1,0,1
0,2.31,7.38,6.64,4.19,4.98,7.3,9.57,6.45,9.23,473,0,0,1
1,4.86,5.82,0.93,3.77,4.12,6.42,0.16,5.17,8.31,292,0,1,0
0,4.8,0.23,2.57,2.55,7.52,4.94,1.63,3.55,3.63,373,0,0,1
3,8.56,5.01,2.0,5.13,7.48,2.97,3.65,5.57,6.9,530,1,0,1
2,9.0,8.91,1.34,4.91,2.38,8.45,4.72,0.88,2.09,519,1,0,1
2,8.7,2.62,5.05,2.81,5.67,5.8,3.41,6.11,1.36,699,1,0,1
2,0.67,2.44,7.25,8.0,2.84,8.44,4.68,8.45,4.81,422,0,0,1
1,0.5,4.14,5.51,3.53,5.02,0.3,4.54,5.76,1.53,322,0,0,1
2,8.03,2.04,0.99,8.28,1.93,9.5,2.25,5.32,8.33,448,0,0,1
1,5.25,1.48,8.75,7.46,6.58,5.94,9.52,1.04,2.89,727,1,0,1
1,3.66,4.54,9.78,7.59,6.69,9.72,4.76,6.28,3.05,706,1,0,1
0,8.72,2.29,1.87,2.26,5.84,7.77,0.56,5.86,3.65,530,1,0,1
2,8.48,2.7,2.24,1.4,6.5,7.41,6.92,3.98,9.39,538,1,0,1
0,2.92,9.52,9.96,5.44,4.1,4.92,4.08,9.53,4.22,682,1,0,1
1,3.87,4.22,3.69,9.75,8.35,9.22,6.94,0.68,9.49,390,0,0,1
2,3.5,9.79,0.77,9.84,4.45,6.31,3.72,7.52,5.58,219,0,1,0
3,3.48,7.06,2.42,3.42,7.53,3.96,4.44,4.54,7.51,304,0,0,1
2,7.42,7.42,7.41,4.79,6.1,2.6,4.24,8.18,1.07,766,1,0,1
2,3.52,2.9,3.05,5.72,2.64,1.38,3.25,5.02,3.56,338,0,0,1
0,7.16,3.9,8.17,1.31,6.14,5.68,3.7,0.41,0.2,792,1,0,1
3,6.27,6.39,4.1,8.37,5.83,7.41,2.82,1.12,9.16,531,1,0,1
2,9.44,9.17,1.12,5.12,5.77,0.54,9.07,4.18,5.42,529,1,0,1
0,8.07,8.42,5.09,4.8,6.83,2.95,1.07,6.8,0.44,674,1,0,1
1,1.89,8.5,4.63,3.16,6.92,8.42,7.56,5.29,8.47,346,0,0,1
0,1.47,9.7,6.4,6.59,7.34,1.0,2.57,0.37,6.92,420,0,0,1
0,9.5,8.12,5.28,1.92,0.87,4.34,5.14,8.54,2.89,754,1,0,1
2,7.37,2.41,9.61,9.39,8.51,7.1,4.91,4.58,6.12,878,1,0,1
2,7.8,9.76,6.52,5.0,4.59,8.4,0.13,0.96,8.92,738,1,0,1
0,3.66,6.61,5.26,7.88,9.03,5.22,3.27,0.66,1.97,465,0,0,1
1,6.96,5.55,4.64,1.12,4.41,0.12,6.05,3.93,8.14,593,1,0,1
3,6.63,1.71,1.08,3.87,7.08,3.6,7.02,8.94,4.8,384,0,0,1
3,6.33,6.31,7.19,7.9,1.33,2.45,2.11,5.37,3.29,699,1,0,1
3,1.57,9.16,5.83,8.54,0.5,2.68,0.18,6.5,6.18,394,0,0,1
1,7.98,5.65,3.9,6.98,2.69,5.18,2.37,5.82,6.45,604,1,0,1
2,0.88,9.31,6.48,3.33,3.67,5.6,9.88,5.4,2.2,395,0,0,1
0,7.9,8.04,1.29,0.53,1.86,9.95,3.81,2.73,1.93,462,0,0,1
3,6.85,8.8,2.67,7.55,7.81,9.76,7.81,5.77,6.26,484,0,0,1
3,3.27,3.07,7.86,1.4,5.05,3.68,0.24,1.49,8.91,583,1,0,1
3,4.78,4.52,5.48,4.09,9.41,0.39,9.34,8.91,8.28,531,1,0,1
2,7.82,6.05,7.91,8.54,6.68,1.71,0.14,6.08,0.62,811,1,0,1
3,7.52,8.84,1.0,7.9,7.56,0.63,9.54,1.04,3.9,428,0,0,1
0,4.88,1.51,1.25,9.39,2.5,0.42,9.78,2.37,1.48,307,0,0,1
2,3.33,6.74,4.42,3.79,1.88,3.67,9.01,0.67,1.15,404,0,0,1
1,5.77,3.53,8.09,2.09,5.0,2.69,7.13,7.35,7.86,719,1,0,1
3,5.43,2.98,5.79,6.59,6.13,3.51,2.67,7.35,6.93,578,1,0,1
1,7.48,5.36,6.34,6.85,2.45,7.53,5.97,7.89,8.43,710,1,0,1
0,3.82,2.18,3.85,4.06,2.97,6.16,5.41,9.7,9.83,395,0,0,1
3,8.99,8.54,6.96,1.97,7.93,8.59,3.91,4.58,3.06,819,1,0,1
0,3.18,9.45,3.5,1.51,0.47,6.57,7.13,8.24,9.0,349,0,0,1
0,0.6,5.17,7.42,4.54,0.21,3.57,2.4,9.06,2.65,430,0,0,1
1,3.15,2.07,3.83,9.77,6.79,2.04,0.15,2.12,4.07,361,0,0,1
3,0.28,7.01,3.28,7.32,9.24,8.8,3.38,1.39,4.31,193,0,1,0
2,1.39,8.7,3.12,1.8,3.89,5.09,3.79,2.14,2.65,240,0,1,0
0,8.04,5.47,5.42,9.09,3.65,0.29,4.17,3.13,8.79,688,1,0,1
1,8.43,2.08,5.8,9.91,9.54,4.82,5.76,6.55,9.46,726,1,0,1
2,9.97,6.59,9.97,9.9,8.28,1.03,4.89,1.87,2.52,1028,1,0,1
1,7.39,5.31,7.19,3.14,1.52,5.28,3.84,1.13,3.65,751,1,0,1
2,4.39,8.76,7.53,3.7,1.01,4.21,9.93,7.18,7.88,624,1,0,1
3,4.31,7.22,3.28,4.58,8.43,9.74,8.88,6.39,1.18,391,0,0,1
1,9.07,1.88,9.03,5.36,4.92,1.17,1.8,8.49,5.17,930,1,0,1
1,2.38,8.49,1.82,3.92,8.27,9.12,2.49,4.3,2.48,219,0,1,0
1,4.12,0.26,7.77,2.09,8.3,1.46,2.92,1.33,0.47,619,1,0,1
2,0.46,9.57,7.53,6.4,9.49,1.98,2.13,9.4,6.85,431,0,0,1
0,4.37,3.72,4.34,5.99,1.7,9.66,8.79,1.89,8.55,449,0,0,1
3,7.96,6.54,3.3,6.7,2.99,7.54,8.88,6.07,2.23,571,1,0,1
1,0.47,9.17,0.84,6.88,7.4,8.69,7.59,4.45,6.38,73,0,1,0
1,1.96,3.97,8.37,7.88,0.46,6.94,0.12,3.73,6.67,547,1,0,1
0,4.22,9.96,6.05,8.84,5.2,3.71,6.1,0.44,7.85,537,1,0,1
0,6.12,0.33,6.63,4.67,1.39,7.29,8.73,3.07,6.97,656,1,0,1
0,8.34,6.88,5.06,1.92,8.81,1.68,4.19,8.52,6.7,685,1,0,1
2,9.91,1.29,5.78,4.44,2.69,9.66,0.22,5.98,8.94,797,1,0,1
3,0.68,9.79,4.05,1.11,1.05,1.7,9.79,0.94,1.87,256,0,1,0
1,8.07,3.41,4.93,0.92,7.84,5.65,7.49,3.42,9.09,662,1,0,1
0,1.04,2.69,7.71,6.58,5.06,9.72,9.23,6.77,1.73,466,0,0,1
3,9.75,3.48,0.78,4.37,9.83,0.36,3.26,4.99,9.05,523,1,0,1
1,4.23,9.78,1.8,3.23,2.5,2.0,1.87,5.92,0.95,309,0,0,1
1,4.62,3.57,9.2,3.92,0.74,8.24,8.44,2.4,6.02,722,1,0,1
3,5.51,7.19,7.48,3.03,7.87,9.25,3.14,7.43,5.54,675,1,0,1
1,2.09,1.01,9.42,0.79,5.87,3.81,6.61,2.89,7.24,608,1,0,1
2,8.55,5.07,3.36,2.73,0.39,4.52,8.74,8.35,7.17,603,1,0,1
3,4.75,9.21,9.33,4.46,1.04,4.03,3.61,0.16,2.67,738,1,0,1
0,4.22,6.95,6.98,6.76,6.48,1.37,3.95,6.17,9.55,585,1,0,1
0,1.04,5.86,7.75,3.73,9.9,8.44,5.5,0.34,2.75,470,0,0,1
1,1.91,1.82,2.19,3.61,1.58,4.3,1.23,4.71,8.13,212,0,1,0
2,9.59,6.6,6.59,6.37,5.44,8.21,0.79,2.07,3.99,828,1,0,1
1,6.76,5.68,4.21,8.75,5.15,4.96,7.17,6.55,1.89,561,1,0,1
0,2.82,8.45,2.91,0.98,0.99,2.61,3.09,4.75,2.16,299,0,1,0
0,9.59,6.79,8.6,3.68,2.29,3.03,6.66,0.72,0.77,935,1,0,1
1,6.68,9.1,8.64,2.58,2.04,7.66,5.57,6.04,6.09,796,1,0,1
3,7.61,9.55,5.63,3.55,8.13,9.77,7.64,1.82,3.03,681,1,0,1
1,3.28,8.85,6.02,4.48,8.4,5.56,5.92,2.71,8.55,489,0,0,1
1,4.96,2.41,4.66,4.2,4.3,1.12,3.36,3.75,5.81,494,0,0,1
3,8.12,2.68,9.27,5.13,8.32,0.85,6.56,9.49,5.52,897,1,0,1
1,8.32,1.8,2.22,3.37,8.43,1.03,2.38,8.09,5.27,528,1,0,1
3,3.06,2.38,2.33,0.36,9.72,6.15,5.89,1.24,8.57,276,0,1,0
3,6.13,2.76,9.67,9.82,3.9,0.85,7.62,9.17,2.9,820,1,0,1
1,5.44,6.48,6.14,9.78,0.36,6.65,1.07,3.24,6.88,600,1,0,1
0,2.09,1.93,3.78,9.16,9.86,1.81,7.72,7.36,9.72,306,0,0,1
3,8.72,3.97,2.77,3.24,7.62,3.16,5.57,3.09,3.21,579,1,0,1
0,8.22,9.62,0.22,5.76,1.01,6.58,2.78,7.85,8.78,421,0,0,1
2,3.52,8.07,3.8,4.6,5.18,0.34,3.97,6.98,8.4,381,0,0,1
1,4.15,1.29,1.79,1.01,1.56,6.03,3.57,2.66,4.88,300,0,1,0
0,6.72,3.73,8.24,6.41,2.34,6.77,9.8,7.03,0.68,774,1,0,1
2,0.17,5.38,8.76,6.24,6.18,2.93,1.06,5.41,9.42,480,0,0,1
1,1.54,5.77,6.82,8.08,4.27,6.66,5.4,4.16,3.8,444,0,0,1
3,6.61,0.36,1.58,2.1,5.23,3.13,0.61,5.56,3.09,409,0,0,1
0,3.88,1.14,4.91,5.46,5.91,4.36,0.51,5.35,3.99,454,0,0,1
0,2.4,3.37,0.19,4.2,1.61,9.27,1.97,6.88,2.92,130,0,1,0
0,8.88,7.11,8.42,3.03,9.39,3.48,3.46,1.23,1.99,891,1,0,1
1,7.92,0.42,9.83,9.42,0.22,4.99,0.27,1.75,0.65,916,1,0,1
3,6.02,8.39,2.1,9.32,8.02,1.18,3.49,5.55,3.38,413,0,0,1
0,8.86,9.78,5.8,9.84,0.98,2.75,1.93,2.64,6.2,751,1,0,1
1,9.81,6.42,6.88,0.66,6.81,9.57,9.01,4.61,6.64,854,1,0,1
0,0.23,1.74,5.33,2.57,2.66,2.77,5.31,1.12,9.13,297,0,1,0
0,2.73,2.62,8.38,6.66,6.76,4.51,8.1,6.76,7.09,584,1,0,1
0,9.57,2.73,9.82,6.14,6.58,0.93,9.37,7.16,8.95,998,1,0,1
2,2.09,7.99,3.92,8.85,2.06,4.21,5.59,9.86,5.56,317,0,0,1
0,8.04,7.73,4.9,7.63,3.51,4.96,8.5,2.54,3.8,662,1,0,1
0,0.49,9.01,7.58,8.62,5.73,8.98,9.26,4.67,7.83,435,0,0,1
3,0.37,9.4,1.82,4.88,0.32,1.52,2.64,4.8,8.06,121,0,1,0
0,0.28,3.81,4.66,5.2,9.19,3.42,5.64,6.69,6.36,265,0,1,0
0,5.7,0.11,8.97,7.12,3.04,5.11,8.31,5.68,9.62,760,1,0,1
